order_id,time_to_deliver_days,diff_estimated_delivery_days
59b32fae-dc12-322c-672e-95ec3716d614,9,-20
c158e980-6f85-a338-77bd-fd4f607b72e7,24,-10
19721d59-a976-4437-477e-ff0730b48665,14,-18
08652363-092b-1584-40e2-422e7c3ccaf4,15,-16
e92f3505-8106-92cd-4a03-50b19e2d9045,9,-19
38c1e3d4-ed6a-13cd-0cf6-12d4c09766e9,1,-17
5a63a60e-a285-2393-9942-70157cd61e0a,11,-11
409e4a6e-adbd-c33f-16cc-f0bda01eec1f,12,-8
4fc42727-f0b5-4209-9a75-68206da01fa6,7,-22
b0ff8ff9-2f8d-916f-a2e8-005cd8e1a135,5,-13
bb27f9e7-0d5c-dc66-d0c6-16aee3dbb387,18,-17
b60b53ad-0bb7-daca-cf29-89fe27ad567a,13,5
db0d194c-127a-3690-9de3-bda3edad30bc,10,-12
884b1394-fc88-88e6-a877-df86eb19e74c,10,0
ac7a9256-0a9e-99f0-a0ab-4988102f491b,18,-1
197edbaa-61a8-a349-f382-553fd2180ee1,9,-12
da8be3bb-62e9-bf01-e2e1-a3bfd74ebd1a,32,4
dcbd516c-0f39-081a-5e54-2ef76bbc3fe4,10,-8
c2215076-050f-a358-9341-05b15c34cf3b,10,-9
8bbbef97-d763-f4dc-f2e1-2cc5b5e0cee6,10,-9
6de3383b-e650-cfe9-6aed-26171ad65c47,9,-10
b8c38cf3-7cd1-7fd6-45f2-e84101c8a679,9,-12
21f4a37e-c131-158f-1615-d0f186f190af,20,-7
c186ebe3-9374-70a2-f562-a2dc0bc74dd7,7,-10
56a4ac10-a4a8-f2ba-7693-523bb439eede,6,-9
d62387ac-b391-4789-e712-406e9882e549,6,-29
e659b822-3be6-f632-acb2-4fb80cf50ca9,20,-10
b693d6c3-5867-fa19-3745-5e04f2547df2,5,-15
0f9dc92d-f063-5605-588c-51ec2e4c58a0,14,-16
8efc0761-4563-8bcd-5298-053ddde6ff0c,2,-12
35b7d83c-8629-ba8d-0f71-8d9d293cf436,5,-27
41876446-9a9e-73f7-6f56-783c1863bd05,8,-19
45ed6e85-398a-87c2-53db-47c2d9f48216,14,-18
0bc4a984-d792-79c8-4342-1830f595273c,8,-9
bb3b61a1-29ab-a9ee-b10b-b81a4770f3b1,7,-17
7876404b-81dc-ee26-d47b-e1c7131b16ec,4,-24
0ac645dd-b846-d137-3321-decb39c9956f,4,-18
711f6009-f8bf-028b-3fa4-26696b581432,9,-13
cf18c0b7-7059-499a-9981-8871229ab994,7,-21
d977821d-a81b-766c-90bc-d3351f0dbf19,12,-8
5c1f2bd7-eff4-19c1-6542-8371164d750c,10,-2
5a00ef28-abf9-6450-38a7-d37c1639d2c2,14,-18
5a0e5ad3-3542-c79b-10be-87a344ee0086,6,-15
0d25f1b1-5acb-59ce-ff22-667265743132,13,-15
f0a82a32-8fd6-4b27-9624-2bbfddb7e1d4,24,-7
bba5aa83-7be7-e597-e91c-6ddedf604cd8,13,-11
72144791-fc7f-d804-8eaf-c90d7f82ba54,11,-13
664c5e57-eb84-79a7-9cae-b79fc79699ca,13,-1
f97a6e53-615d-fc14-88e4-bcf3dfe1cb2f,8,-20
faa911f9-ff46-e53a-edc9-408c5d6a24ad,11,-17
72344ea1-113e-3227-494c-465a64ae58aa,10,-16
